#Full OTU Counts																																																					
#OTU ID	ago1.27-2-RACINE	ago1.27-3-RACINE	ago1.27-5-RACINE	ago1.27-6-RACINE	ago1.27-B-SOL	ago1.27-C-SOL	ago1.27-D-SOL	ago1.27-E-SOL	dcl1.2-1-RACINE	dcl1.2-3-SOL	dcl1.2-3b-RACINE	dcl1.2-4-SOL	dcl1.2-B-RACINE	dcl1.2-C-RACINE	dcl1.2-D-SOL	dcl1.2-E-SOL	hen1.4-3-RACINE	hen1.4-5b-RACINE	hen1.4-6-RACINE	hen1.4-6b-RACINE	hen1.4-B-SOL	hen1.4-C-SOL	hen1.4-D-SOL	hen1.4-E-SOL	RTL1.1-RACINE	RTL1.2-RACINE	RTL1.3-RACINE	RTL1.7-RACINE	RTL1.B-SOL	RTL1.D-SOL	RTL1.Db-SOL	RTL1.E-SOL	RTL1myc.1-RACINE	RTL1myc.3-RACINE	RTL1myc.4-RACINE	RTL1myc.6-RACINE	RTL1myc.A-SOL	RTL1myc.C-SOL	RTL1myc.D-SOL	RTL1myc.E-SOL	SOL.CTRL-A-SOL	SOL.CTRL-C-SOL	SOL.CTRL-D-SOL	SOL.CTRL-E-SOL	WTdu14.1-RACINE	WTdu14.1-SOL	WTdu14.2-RACINE	WTdu14.3-SOL	WTdu6.5-1-RACINE	WTdu6.5-2-RACINE	WTdu6.5-B-SOL	WTdu6.5-C-SOL	taxonomy
67	81	0	0	55	0	0	0	0	0	0	0	0	95	0	30	98	0	0	4	0	96	70	0	0	0	0	0	0	82	84	81	91	0	3	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	"k__Bacteria;"
68	17	29	0	49	0	0	0	0	26	0	15	39	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	53	58	0	149	0	42	0	0	0	0	0	0	0	0	389	0	47	0	0	0	"k__Viridiplantae;p__Chlorophyta;c__Prasinophyceae;o__Pseudoscourfieldiales;f__Pycnococcaceae;g__Nephroselmis;"
74	0	0	0	0	117	0	0	0	0	0	49	26	55	0	0	0	0	0	0	0	29	0	0	0	0	71	74	0	50	281	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	11	0	0	0	0	0	"k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;"
77	0	0	0	0	0	0	0	0	664	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
78	0	0	0	0	74	41	30	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	139	0	0	0	0	0	0	0	0	0	0	0	0	134	66	48	63	30	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
81	8	0	0	0	0	0	0	0	0	17	59	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	142	157	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	169	305	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Viridiplantae;p__Chlorophyta;c__Prasinophyceae;o__Pseudoscourfieldiales;f__Pycnococcaceae;g__Nephroselmis;"
83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	276	0	0	"k__Bacteria;"
87	0	0	0	0	49	0	0	0	0	0	0	0	252	0	0	40	0	0	0	0	0	0	0	0	16	0	24	0	74	84	0	0	13	0	0	0	27	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Viridiplantae;p__Chlorophyta;c__Prasinophyceae;o__Pseudoscourfieldiales;f__Pycnococcaceae;g__Nephroselmis;"
88	0	0	53	0	30	76	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	18	29	0	66	0	0	0	187	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
89	0	0	0	0	159	0	87	0	74	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	63	0	0	0	0	0	0	0	75	0	0	0	0	0	"k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorococcaceae;g__Chlorococcum;"
90	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	28	0	0	331	11	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
91	44	0	0	35	17	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	23	68	23	30	28	7	36	0	28	0	0	54	0	102	0	0	0	0	0	"k__Bacteria;"
92	0	0	0	45	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	50	14	0	0	0	0	0	0	0	296	25	0	0	0	0	"k__Viridiplantae;p__Chlorophyta;c__Prasinophyceae;o__Pseudoscourfieldiales;f__Pycnococcaceae;g__Nephroselmis;"
94	0	0	0	0	33	27	35	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	96	0	0	0	0	0	0	0	0	0	0	0	0	106	50	31	25	0	4	12	0	0	0	0	0	0	0	0	0	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;"
95	0	0	0	98	0	367	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorococcaceae;g__Chlorococcum;"
100	104	0	49	43	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	37	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	"k__Bacteria;"
105	0	0	0	75	0	0	0	0	0	0	0	38	0	0	0	0	17	0	17	0	0	0	0	22	0	96	33	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	"k__Viridiplantae;p__Chlorophyta;c__Prasinophyceae;o__Pseudoscourfieldiales;f__Pycnococcaceae;g__Nephroselmis;"
107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	43	196	0	0	0	0	0	0	0	0	0	0	0	0	0	57	30	0	0	0	0	0	"k__Bacteria;"
109	2	0	0	0	0	116	34	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	24	0	0	0	0	0	15	22	16	0	23	0	58	77	"k__Bacteria;"
110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	157	128	28	0	0	0	0	"k__Bacteria;"
111	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	116	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	115	0	0	0	18	0	0	0	0	0	"k__Bacteria;"
113	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	51	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Viridiplantae;p__Chlorophyta;c__Prasinophyceae;o__Pseudoscourfieldiales;f__Pycnococcaceae;g__Nephroselmis;"
114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	40	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
116	0	0	0	0	24	0	0	0	11	0	24	0	6	0	0	46	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	41	18	22	18	61	39	11	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
120	0	0	0	3	11	0	0	22	9	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	14	18	0	26	32	15	7	0	0	30	0	16	0	0	56	0	0	0	0	0	0	0	0	0	19	0	0	"k__Bacteria;"
121	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
122	0	0	0	0	68	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	6	153	0	76	0	47	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;p__Proteobacteria;"
128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	180	13	0	32	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	"k__Bacteria;"
131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	137	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	0	99	36	84	38	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	31	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	26	0	0	0	0	"k__Bacteria;"
135	0	0	0	0	0	0	27	0	0	0	0	0	33	58	0	25	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	3	0	0	9	28	0	17	25	22	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	26	0	36	0	53	30	40	43	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
139	0	0	0	0	40	0	0	21	9	0	9	21	30	0	38	56	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
143	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Viridiplantae;p__Chlorophyta;c__Prasinophyceae;o__Pseudoscourfieldiales;f__Pycnococcaceae;g__Nephroselmis;"
144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	77	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	41	24	49	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	41	0	59	0	0	0	0	0	0	0	21	0	0	0	15	0	"k__Bacteria;"
