#Full OTU Counts																																																																																																	
#OTU ID	aR1	aR2	aR3	aR4	aR5	aR6	aR7	aR8	aS1	aS2	aS3	aS4	aS5	aS6	aS7	aS8	aSN1	aSN2	aSN3	aSN4	aSN5	aSN6	aSN7	aSN8	bR1	bR2	bR3	bR4	bR5	bR6	bR7	bR8	bS1	bS2	bS3	bS4	bS5	bS6	bS7	bS8	bSN1	bSN2	bSN3	bSN4	bSN5	bSN6	bSN7	bSN8	cR1	cR2	cR3	cR4	cR5	cR6	cR7	cR8	cS1	cS2	cS3	cS4	cS5	cS6	cS7	cS8	cSN1	cSN2	cSN3	cSN4	cSN5	cSN6	cSN7	cSN8	ctrlR1	ctrlR2	ctrlR3	ctrlR4	ctrlR5	ctrlR6	ctrlR7	ctrlR8	ctrlS1	ctrlS2	ctrlS3	ctrlS4	ctrlS5	ctrlS6	ctrlS7	ctrlS8	ctrlSN1	ctrlSN2	ctrlSN3	ctrlSN4	ctrlSN5	ctrlSN6	ctrlSN7	ctrlSN8	taxonomy
38	0	0	0	0	0	14	22	0	115	127	0	0	0	71	0	132	0	0	223	87	213	250	0	96	0	0	0	0	0	0	0	0	0	91	64	232	56	30	113	12	152	284	85	55	207	158	77	229	0	0	0	0	23	0	0	0	94	60	68	42	98	144	118	39	0	45	0	167	148	0	0	72	0	0	0	0	0	0	0	0	137	257	152	0	134	0	113	126	124	0	173	73	252	279	182	114	"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiomycetes_ord_Incertae_sedis;f__Myxotrichaceae;g__Oidiodendron;"
42	0	0	0	40	0	0	68	0	82	0	0	0	0	0	0	126	118	0	255	96	131	325	0	172	58	70	0	0	0	0	0	44	0	0	0	92	0	0	0	0	160	282	0	0	200	243	76	410	0	0	61	0	0	0	0	0	71	0	48	0	39	62	51	0	275	0	0	139	86	140	278	159	0	0	0	0	0	0	65	0	45	87	72	0	0	0	54	59	67	0	111	106	242	242	203	181	"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;"
43	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	54	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	510	0	0	0	0	87	167	0	0	150	26	595	0	0	0	0	0	0	0	0	0	0	0	399	0	556	0	145	303	553	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	91	191	0	0	0	0	255	0	0	0	0	0	1073	0	0	0	"k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Spizellomycetales;f__Spizellomycetaceae;g__Triparticalcar;"
44	17	21	16	24	0	0	0	0	140	229	119	0	105	191	125	181	129	0	214	96	285	361	0	146	35	0	0	0	0	0	0	14	0	31	36	47	46	0	156	0	74	87	20	18	159	45	16	97	13	0	32	0	34	20	0	0	155	147	149	51	0	262	95	92	128	0	0	178	190	45	121	72	0	0	0	0	24	0	0	0	106	75	52	0	0	0	19	74	96	0	26	33	41	67	72	0	"k__Fungi;p__Zygomycota;c__Mortierellomycotina_cls_Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Dissophora;"
46	0	0	0	0	458	0	0	0	406	552	0	0	456	0	149	335	180	0	375	0	302	414	0	139	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	162	74	0	0	0	0	0	0	0	0	0	84	171	0	0	125	0	0	575	0	0	"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus;"
47	0	0	0	0	0	0	0	0	166	0	0	0	92	18	54	5	23	0	70	0	16	396	0	578	0	0	0	28	0	0	0	0	0	53	62	173	0	30	89	0	0	69	35	0	468	49	301	24	0	0	10	0	0	0	0	0	0	16	59	7	80	148	41	46	16	122	0	188	339	0	55	0	0	0	0	0	0	0	0	0	0	167	127	60	70	0	24	49	55	52	185	39	19	258	300	89	"k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Spizellomycetales;f__Spizellomycetaceae;g__Triparticalcar;"
49	42	0	0	0	0	0	0	0	122	157	64	0	0	0	0	317	66	0	223	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	36	203	0	130	173	70	0	193	91	66	289	0	0	0	0	0	0	0	0	88	42	182	43	140	141	78	50	0	0	0	130	153	0	113	51	38	0	12	0	0	0	0	0	165	163	79	37	0	0	0	67	117	0	95	0	139	257	102	21	"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium;"
50	107	81	0	190	0	0	159	0	319	177	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	198	0	77	0	0	0	0	0	0	132	146	174	0	0	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	106	0	72	0	230	0	0	242	239	0	0	0	0	117	0	0	53	180	0	179	0	0	0	237	326	0	0	0	0	328	0	0	0	"k__Fungi;"
51	0	0	65	270	274	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	145	0	0	68	0	0	0	0	0	0	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	0	0	0	0	0	0	0	292	0	0	0	622	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	334	0	0	0	0	0	0	0	0	0	512	0	"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium;"
53	0	0	0	0	0	0	0	54	106	0	32	0	40	18	0	0	0	82	0	66	0	36	28	421	0	0	0	0	0	0	0	0	0	21	0	95	0	0	21	0	0	0	37	0	0	20	46	0	0	0	16	0	0	0	0	0	50	78	118	80	288	13	31	0	0	0	11	470	109	0	163	0	0	0	0	0	0	0	0	0	236	19	0	14	27	0	118	410	495	57	80	7	0	77	123	53	"k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;"
55	0	0	0	0	0	0	0	0	2325	0	482	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	409	64	49	0	0	125	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	"k__Fungi;p__Zygomycota;c__Mortierellomycotina_cls_Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;"
